run,tick,UAV-UAV,Manned-Manned,UAV-Manned,,,,max airproxes,,,,,,,,,,,,,,,,,,
1,1,0,0,0,,,run,U-U,M-M,U-M,UAV layers,,,,run,randomSeed,UAV_LateralMaxSpeedMPS,Manned_VerticalMaxSpeedMPS,Manned_LateralMaxSpeedMPS,Manned_LayersPer360,UAV_VerticalMaxSpeedMPS,Manned_RequiredVerticalSeparationM,Manned_BaseAltitude,UAV_LayersPer360,UAV_BaseAltitude,UAV_RequiredVerticalSeparationM
1,463,198,0,0,,,,,,,,,,,,,,,,,,,,,,
1,466,198,0,0,,,,,,,,,,,,,,,,,,,,,,
1,469,198,0,0,,,,,,,,,,,,,,,,,,,,,,
1,472,199,0,0,,,,,,,,,,,,,,,,,,,,,,
1,475,200,0,0,,,,,,,,,,,,,,,,,,,,,,
1,478,200,0,0,,,,,,,,,,,,,,,,,,,,,,
1,481,200,0,0,,,,,,,,,,,,,,,,,,,,,,
1,484,200,0,0,,,,,,,,,,,,,,,,,,,,,,
1,487,201,0,0,,,,,,,,,,,,,,,,,,,,,,
1,490,201,0,0,,,,,,,,,,,,,,,,,,,,,,
1,493,201,0,0,,,,,,,,,,,,,,,,,,,,,,
1,496,202,0,0,,,,,,,,,,,,,,,,,,,,,,
1,499,202,0,0,,,,,,,,,,,,,,,,,,,,,,
1,502,202,0,0,,,,,,,,,,,,,,,,,,,,,,
1,505,202,0,0,,,,,,,,,,,,,,,,,,,,,,
1,508,203,0,0,,,,,,,,,,,,,,,,,,,,,,
1,511,203,0,0,,,,,,,,,,,,,,,,,,,,,,
1,514,203,0,0,,,,,,,,,,,,,,,,,,,,,,
1,517,203,0,0,,,,,,,,,,,,,,,,,,,,,,
1,520,204,0,0,,,,,,,,,,,,,,,,,,,,,,
1,523,204,0,0,,,,,,,,,,,,,,,,,,,,,,
1,526,204,0,0,,,,,,,,,,,,,,,,,,,,,,
1,529,205,0,0,,,,,,,,,,,,,,,,,,,,,,
1,532,206,0,0,,,,,,,,,,,,,,,,,,,,,,
1,535,206,0,0,,,,,,,,,,,,,,,,,,,,,,
1,538,207,0,0,,,,,,,,,,,,,,,,,,,,,,
1,541,207,0,0,,,,,,,,,,,,,,,,,,,,,,
1,544,207,0,0,,,,,,,,,,,,,,,,,,,,,,
1,547,208,0,0,,,,,,,,,,,,,,,,,,,,,,
1,550,208,0,0,,,,,,,,,,,,,,,,,,,,,,
1,553,208,0,0,,,,,,,,,,,,,,,,,,,,,,
1,556,209,0,0,,,,,,,,,,,,,,,,,,,,,,
1,559,209,0,0,,,,,,,,,,,,,,,,,,,,,,
1,562,210,0,0,,,,,,,,,,,,,,,,,,,,,,
1,565,210,0,0,,,,,,,,,,,,,,,,,,,,,,
1,568,210,0,0,,,,,,,,,,,,,,,,,,,,,,
1,571,211,0,0,,,,,,,,,,,,,,,,,,,,,,
1,574,211,0,0,,,,,,,,,,,,,,,,,,,,,,
1,577,212,0,0,,,,,,,,,,,,,,,,,,,,,,
1,580,212,0,0,,,,,,,,,,,,,,,,,,,,,,
1,583,213,0,0,,,,,,,,,,,,,,,,,,,,,,
1,586,213,0,0,,,,,,,,,,,,,,,,,,,,,,
1,589,214,0,0,,,,,,,,,,,,,,,,,,,,,,
1,592,215,0,0,,,,,,,,,,,,,,,,,,,,,,
1,595,215,0,0,,,,,,,,,,,,,,,,,,,,,,
1,598,216,0,0,,,,,,,,,,,,,,,,,,,,,,
1,601,216,0,0,,,,,,,,,,,,,,,,,,,,,,
1,604,217,0,0,,,,,,,,,,,,,,,,,,,,,,
1,607,218,0,0,,,,,,,,,,,,,,,,,,,,,,
1,610,218,0,0,,,,,,,,,,,,,,,,,,,,,,
1,613,219,0,0,,,,,,,,,,,,,,,,,,,,,,
1,616,219,0,0,,,,,,,,,,,,,,,,,,,,,,
1,619,220,0,0,,,,,,,,,,,,,,,,,,,,,,
1,622,221,0,0,,,,,,,,,,,,,,,,,,,,,,
1,625,221,0,0,,,,,,,,,,,,,,,,,,,,,,
1,628,222,0,0,,,,,,,,,,,,,,,,,,,,,,
1,631,223,0,0,,,,,,,,,,,,,,,,,,,,,,
1,634,224,0,0,,,,,,,,,,,,,,,,,,,,,,
1,637,224,0,0,,,,,,,,,,,,,,,,,,,,,,
1,640,225,0,0,,,,,,,,,,,,,,,,,,,,,,
1,643,226,0,0,,,,,,,,,,,,,,,,,,,,,,
1,646,228,0,0,,,,,,,,,,,,,,,,,,,,,,
1,649,229,0,0,,,,,,,,,,,,,,,,,,,,,,
1,652,230,0,0,,,,,,,,,,,,,,,,,,,,,,
1,655,231,0,0,,,,,,,,,,,,,,,,,,,,,,
1,658,232,0,0,,,,,,,,,,,,,,,,,,,,,,
1,661,233,0,0,,,,,,,,,,,,,,,,,,,,,,
1,664,234,0,0,,,,,,,,,,,,,,,,,,,,,,
1,667,236,0,0,,,,,,,,,,,,,,,,,,,,,,
1,670,237,0,0,,,,,,,,,,,,,,,,,,,,,,
1,673,238,0,0,,,,,,,,,,,,,,,,,,,,,,
1,676,240,0,0,,,,,,,,,,,,,,,,,,,,,,
1,679,242,0,0,,,,,,,,,,,,,,,,,,,,,,
1,682,244,0,0,,,,,,,,,,,,,,,,,,,,,,
1,685,246,0,0,,,,,,,,,,,,,,,,,,,,,,
1,688,246,0,0,,,,,,,,,,,,,,,,,,,,,,
1,691,246,0,0,,,,,,,,,,,,,,,,,,,,,,
1,694,246,0,0,,,,,,,,,,,,,,,,,,,,,,
1,697,246,0,0,,,,,,,,,,,,,,,,,,,,,,
1,700,246,0,0,,,,,,,,,,,,,,,,,,,,,,
1,703,246,0,0,,,,,,,,,,,,,,,,,,,,,,
1,706,246,0,0,,,,,,,,,,,,,,,,,,,,,,
1,709,246,0,0,,,,,,,,,,,,,,,,,,,,,,
1,712,246,0,0,,,,,,,,,,,,,,,,,,,,,,
1,715,246,0,0,,,,,,,,,,,,,,,,,,,,,,
1,718,246,0,0,,,,,,,,,,,,,,,,,,,,,,
1,721,246,0,0,,,,,,,,,,,,,,,,,,,,,,
1,724,246,0,0,,,,,,,,,,,,,,,,,,,,,,
1,727,246,0,0,,,,,,,,,,,,,,,,,,,,,,
1,730,246,0,0,,,,,,,,,,,,,,,,,,,,,,
1,733,247,0,0,,,,,,,,,,,,,,,,,,,,,,
1,736,247,0,0,,,,,,,,,,,,,,,,,,,,,,
1,739,247,0,0,,,,,,,,,,,,,,,,,,,,,,
1,742,247,0,0,,,,,,,,,,,,,,,,,,,,,,
1,745,247,0,0,,,,,,,,,,,,,,,,,,,,,,
1,748,247,0,0,,,,,,,,,,,,,,,,,,,,,,
1,751,247,0,0,,,,,,,,,,,,,,,,,,,,,,
1,754,247,0,0,,,,,,,,,,,,,,,,,,,,,,
1,757,247,0,0,,,,,,,,,,,,,,,,,,,,,,
1,760,247,0,0,,,,,,,,,,,,,,,,,,,,,,
1,763,247,0,0,,,,,,,,,,,,,,,,,,,,,,
1,766,247,0,0,,,,,,,,,,,,,,,,,,,,,,
1,769,247,0,0,,,,,,,,,,,,,,,,,,,,,,
1,772,247,0,0,,,,,,,,,,,,,,,,,,,,,,
1,775,247,0,0,,,,,,,,,,,,,,,,,,,,,,
1,778,247,0,0,,,,,,,,,,,,,,,,,,,,,,
1,781,248,0,0,,,,,,,,,,,,,,,,,,,,,,
1,784,248,0,0,,,,,,,,,,,,,,,,,,,,,,
1,787,248,0,0,,,,,,,,,,,,,,,,,,,,,,
1,790,248,0,0,,,,,,,,,,,,,,,,,,,,,,
1,793,248,0,0,,,,,,,,,,,,,,,,,,,,,,
1,796,248,0,0,,,,,,,,,,,,,,,,,,,,,,
1,799,248,0,0,,,,,,,,,,,,,,,,,,,,,,
1,802,248,0,0,,,,,,,,,,,,,,,,,,,,,,
1,805,248,0,0,,,,,,,,,,,,,,,,,,,,,,
1,808,248,0,0,,,,,,,,,,,,,,,,,,,,,,
1,811,248,0,0,,,,,,,,,,,,,,,,,,,,,,
1,814,248,0,0,,,,,,,,,,,,,,,,,,,,,,
1,817,248,0,0,,,,,,,,,,,,,,,,,,,,,,
1,820,248,0,0,,,,,,,,,,,,,,,,,,,,,,
1,823,248,0,0,,,,,,,,,,,,,,,,,,,,,,
1,826,249,0,0,,,,,,,,,,,,,,,,,,,,,,
1,829,249,0,0,,,,,,,,,,,,,,,,,,,,,,
1,832,249,0,0,,,,,,,,,,,,,,,,,,,,,,
1,835,249,0,0,,,,,,,,,,,,,,,,,,,,,,
1,838,249,0,0,,,,,,,,,,,,,,,,,,,,,,
1,841,249,0,0,,,,,,,,,,,,,,,,,,,,,,
1,844,249,0,0,,,,,,,,,,,,,,,,,,,,,,
1,847,249,0,0,,,,,,,,,,,,,,,,,,,,,,
1,850,249,0,0,,,,,,,,,,,,,,,,,,,,,,
1,853,249,0,0,,,,,,,,,,,,,,,,,,,,,,
1,856,249,0,0,,,,,,,,,,,,,,,,,,,,,,
1,859,250,0,0,,,,,,,,,,,,,,,,,,,,,,
1,862,250,0,0,,,,,,,,,,,,,,,,,,,,,,
1,865,250,0,0,,,,,,,,,,,,,,,,,,,,,,
1,868,250,0,0,,,,,,,,,,,,,,,,,,,,,,
1,871,250,0,0,,,,,,,,,,,,,,,,,,,,,,
1,874,250,0,0,,,,,,,,,,,,,,,,,,,,,,
1,877,250,0,0,,,,,,,,,,,,,,,,,,,,,,
1,880,250,0,0,,,,,,,,,,,,,,,,,,,,,,
1,883,250,0,0,,,,,,,,,,,,,,,,,,,,,,
1,886,250,0,0,,,,,,,,,,,,,,,,,,,,,,
1,889,250,0,0,,,,,,,,,,,,,,,,,,,,,,
1,892,250,0,0,,,,,,,,,,,,,,,,,,,,,,
1,895,250,0,0,,,,,,,,,,,,,,,,,,,,,,
1,898,250,0,0,,,,,,,,,,,,,,,,,,,,,,
1,901,251,0,0,,,,,,,,,,,,,,,,,,,,,,
1,904,251,0,0,,,,,,,,,,,,,,,,,,,,,,
1,907,251,0,0,,,,,,,,,,,,,,,,,,,,,,
1,910,251,0,0,,,,,,,,,,,,,,,,,,,,,,
1,913,251,0,0,,,,,,,,,,,,,,,,,,,,,,
1,916,251,0,0,,,,,,,,,,,,,,,,,,,,,,
1,919,251,0,0,,,,,,,,,,,,,,,,,,,,,,
1,922,251,0,0,,,,,,,,,,,,,,,,,,,,,,
1,925,251,0,0,,,,,,,,,,,,,,,,,,,,,,
1,928,251,0,0,,,,,,,,,,,,,,,,,,,,,,
1,931,251,0,0,,,,,,,,,,,,,,,,,,,,,,
1,934,251,0,0,,,,,,,,,,,,,,,,,,,,,,
1,937,252,0,0,,,,,,,,,,,,,,,,,,,,,,
1,940,252,0,0,,,,,,,,,,,,,,,,,,,,,,
1,943,252,0,0,,,,,,,,,,,,,,,,,,,,,,
1,946,252,0,0,,,,,,,,,,,,,,,,,,,,,,
1,949,252,0,0,,,,,,,,,,,,,,,,,,,,,,
1,952,252,0,0,,,,,,,,,,,,,,,,,,,,,,
1,955,252,0,0,,,,,,,,,,,,,,,,,,,,,,
1,958,252,0,0,,,,,,,,,,,,,,,,,,,,,,
1,961,252,0,0,,,,,,,,,,,,,,,,,,,,,,
1,964,252,0,0,,,,,,,,,,,,,,,,,,,,,,
1,967,252,0,0,,,,,,,,,,,,,,,,,,,,,,
1,970,252,0,0,,,,,,,,,,,,,,,,,,,,,,
1,973,252,0,0,,,,,,,,,,,,,,,,,,,,,,
1,976,253,0,0,,,,,,,,,,,,,,,,,,,,,,
1,979,253,0,0,,,,,,,,,,,,,,,,,,,,,,
1,982,253,0,0,,,,,,,,,,,,,,,,,,,,,,
1,985,253,0,0,,,,,,,,,,,,,,,,,,,,,,
1,988,253,0,0,,,,,,,,,,,,,,,,,,,,,,
1,991,253,0,0,,,,,,,,,,,,,,,,,,,,,,
